ÅR,Måned,regnr,navn,Attribute,Value
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Bruttoerstatningsprocent (Loss ratio),194.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Bruttoomkostningsprocent (Expense ratio),29.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Combined ratio,225.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Egenkapitalforrentning i pct. (Return on equity),-1.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Operating ratio,225.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Relativt afløbsresultat,3.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Bruttoerstatningsprocent (Loss ratio),71.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Bruttoomkostningsprocent (Expense ratio),18.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Combined ratio,91.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Egenkapitalforrentning i pct. (Return on equity),9.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Operating ratio,91.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Relativt afløbsresultat,7.0
2016,12,50052,NEM Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),69.0
2016,12,50052,NEM Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),27.0
2016,12,50052,NEM Forsikring A/S,Combined ratio,102.0
2016,12,50052,NEM Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),15.0
2016,12,50052,NEM Forsikring A/S,Operating ratio,102.0
2016,12,50052,NEM Forsikring A/S,Relativt afløbsresultat,12.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Bruttoerstatningsprocent (Loss ratio),20.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Bruttoomkostningsprocent (Expense ratio),177.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Combined ratio,236.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Egenkapitalforrentning i pct. (Return on equity),1.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Operating ratio,236.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Relativt afløbsresultat,6.0
2016,12,50099,Lokal Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),64.0
2016,12,50099,Lokal Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),24.0
2016,12,50099,Lokal Forsikring G/S,Combined ratio,96.0
2016,12,50099,Lokal Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),12.0
2016,12,50099,Lokal Forsikring G/S,Operating ratio,96.0
2016,12,50099,Lokal Forsikring G/S,Relativt afløbsresultat,14.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Bruttoerstatningsprocent (Loss ratio),63.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Bruttoomkostningsprocent (Expense ratio),18.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Combined ratio,87.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Egenkapitalforrentning i pct. (Return on equity),13.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Operating ratio,87.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Relativt afløbsresultat,17.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Bruttoerstatningsprocent (Loss ratio),86.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Bruttoomkostningsprocent (Expense ratio),16.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Combined ratio,116.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Egenkapitalforrentning i pct. (Return on equity),0.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Operating ratio,116.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Relativt afløbsresultat,17.0
2016,12,50140,HF-Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),70.0
2016,12,50140,HF-Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),35.0
2016,12,50140,HF-Forsikring G/S,Combined ratio,108.0
2016,12,50140,HF-Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),3.0
2016,12,50140,HF-Forsikring G/S,Operating ratio,107.0
2016,12,50140,HF-Forsikring G/S,Relativt afløbsresultat,14.0
2016,12,50149,Europæiske Rejseforsikring A/S,Bruttoerstatningsprocent (Loss ratio),52.0
2016,12,50149,Europæiske Rejseforsikring A/S,Bruttoomkostningsprocent (Expense ratio),36.0
2016,12,50149,Europæiske Rejseforsikring A/S,Combined ratio,91.0
2016,12,50149,Europæiske Rejseforsikring A/S,Egenkapitalforrentning i pct. (Return on equity),16.0
2016,12,50149,Europæiske Rejseforsikring A/S,Operating ratio,91.0
2016,12,50149,Europæiske Rejseforsikring A/S,Relativt afløbsresultat,9.0
2016,12,50167,Storstrøms Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),66.0
2016,12,50167,Storstrøms Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),32.0
2016,12,50167,Storstrøms Forsikring G/S,Combined ratio,101.0
2016,12,50167,Storstrøms Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),4.0
2016,12,50167,Storstrøms Forsikring G/S,Operating ratio,101.0
2016,12,50167,Storstrøms Forsikring G/S,Relativt afløbsresultat,12.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Bruttoerstatningsprocent (Loss ratio),78.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Bruttoomkostningsprocent (Expense ratio),59.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Combined ratio,137.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Egenkapitalforrentning i pct. (Return on equity),-5.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Operating ratio,137.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Relativt afløbsresultat,21.0
2016,12,50230,Forsikringsselskabet VEJLE BRAND af 1841 g/s,Bruttoerstatningsprocent (Loss ratio),64.0
2016,12,50230,Forsikringsselskabet VEJLE BRAND af 1841 g/s,Bruttoomkostningsprocent (Expense ratio),41.0
2016,12,50230,Forsikringsselskabet VEJLE BRAND af 1841 g/s,Combined ratio,108.0
2016,12,50230,Forsikringsselskabet VEJLE BRAND af 1841 g/s,Egenkapitalforrentning i pct. (Return on equity),1.0
2016,12,50230,Forsikringsselskabet VEJLE BRAND af 1841 g/s,Operating ratio,108.0
2016,12,50230,Forsikringsselskabet VEJLE BRAND af 1841 g/s,Relativt afløbsresultat,5.0
2016,12,50234,Landinspektørernes gensidige Erhvervsansvarsforsikring,Bruttoerstatningsprocent (Loss ratio),23.0
2016,12,50234,Landinspektørernes gensidige Erhvervsansvarsforsikring,Bruttoomkostningsprocent (Expense ratio),33.0
2016,12,50234,Landinspektørernes gensidige Erhvervsansvarsforsikring,Combined ratio,94.0
2016,12,50234,Landinspektørernes gensidige Erhvervsansvarsforsikring,Egenkapitalforrentning i pct. (Return on equity),7.0
2016,12,50234,Landinspektørernes gensidige Erhvervsansvarsforsikring,Operating ratio,94.0
2016,12,50234,Landinspektørernes gensidige Erhvervsansvarsforsikring,Relativt afløbsresultat,11.0
2016,12,50240,Sønderjysk Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),64.0
2016,12,50240,Sønderjysk Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),25.0
2016,12,50240,Sønderjysk Forsikring G/S,Combined ratio,95.0
2016,12,50240,Sønderjysk Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),10.0
2016,12,50240,Sønderjysk Forsikring G/S,Operating ratio,95.0
2016,12,50240,Sønderjysk Forsikring G/S,Relativt afløbsresultat,14.0
2016,12,50253,Aros Forsikring - gensidigt forsikringsselskab,Bruttoerstatningsprocent (Loss ratio),65.0
2016,12,50253,Aros Forsikring - gensidigt forsikringsselskab,Bruttoomkostningsprocent (Expense ratio),28.0
2016,12,50253,Aros Forsikring - gensidigt forsikringsselskab,Combined ratio,98.0
2016,12,50253,Aros Forsikring - gensidigt forsikringsselskab,Egenkapitalforrentning i pct. (Return on equity),6.0
2016,12,50253,Aros Forsikring - gensidigt forsikringsselskab,Operating ratio,99.0
2016,12,50253,Aros Forsikring - gensidigt forsikringsselskab,Relativt afløbsresultat,7.0
2016,12,50257,Dansk Glasforsikring A/S,Bruttoerstatningsprocent (Loss ratio),48.0
2016,12,50257,Dansk Glasforsikring A/S,Bruttoomkostningsprocent (Expense ratio),29.0
2016,12,50257,Dansk Glasforsikring A/S,Combined ratio,77.0
2016,12,50257,Dansk Glasforsikring A/S,Egenkapitalforrentning i pct. (Return on equity),9.0
2016,12,50257,Dansk Glasforsikring A/S,Operating ratio,77.0
2016,12,50257,Dansk Glasforsikring A/S,Relativt afløbsresultat,32.0
2016,12,50295,GARTNERNES FORSIKRING GS. DANSK JORDBRUG,Bruttoerstatningsprocent (Loss ratio),52.0
2016,12,50295,GARTNERNES FORSIKRING GS. DANSK JORDBRUG,Bruttoomkostningsprocent (Expense ratio),24.0
2016,12,50295,GARTNERNES FORSIKRING GS. DANSK JORDBRUG,Combined ratio,87.0
2016,12,50295,GARTNERNES FORSIKRING GS. DANSK JORDBRUG,Egenkapitalforrentning i pct. (Return on equity),13.0
2016,12,50295,GARTNERNES FORSIKRING GS. DANSK JORDBRUG,Operating ratio,87.0
2016,12,50295,GARTNERNES FORSIKRING GS. DANSK JORDBRUG,Relativt afløbsresultat,3.0
2016,12,50421,Det gensidige forsikringsselskab Dansk Plantageforsikring,Bruttoerstatningsprocent (Loss ratio),6.0
2016,12,50421,Det gensidige forsikringsselskab Dansk Plantageforsikring,Bruttoomkostningsprocent (Expense ratio),191.0
2016,12,50421,Det gensidige forsikringsselskab Dansk Plantageforsikring,Combined ratio,197.0
2016,12,50421,Det gensidige forsikringsselskab Dansk Plantageforsikring,Egenkapitalforrentning i pct. (Return on equity),1.0
2016,12,50421,Det gensidige forsikringsselskab Dansk Plantageforsikring,Operating ratio,197.0
2016,12,50421,Det gensidige forsikringsselskab Dansk Plantageforsikring,Relativt afløbsresultat,22.0
2016,12,50447,HIDS HERREDS SAMT GRØNBÆK. HINGE OG VINDERSLEV SOGNES BRANDFORSIKRING FOR RØRLIG EJENDOM - GENSIDIG under frivillig likvidation,Bruttoerstatningsprocent (Loss ratio),14.0
2016,12,50447,HIDS HERREDS SAMT GRØNBÆK. HINGE OG VINDERSLEV SOGNES BRANDFORSIKRING FOR RØRLIG EJENDOM - GENSIDIG under frivillig likvidation,Bruttoomkostningsprocent (Expense ratio),770.0
2016,12,50447,HIDS HERREDS SAMT GRØNBÆK. HINGE OG VINDERSLEV SOGNES BRANDFORSIKRING FOR RØRLIG EJENDOM - GENSIDIG under frivillig likvidation,Combined ratio,810.0
2016,12,50447,HIDS HERREDS SAMT GRØNBÆK. HINGE OG VINDERSLEV SOGNES BRANDFORSIKRING FOR RØRLIG EJENDOM - GENSIDIG under frivillig likvidation,Egenkapitalforrentning i pct. (Return on equity),-4.0
2016,12,50447,HIDS HERREDS SAMT GRØNBÆK. HINGE OG VINDERSLEV SOGNES BRANDFORSIKRING FOR RØRLIG EJENDOM - GENSIDIG under frivillig likvidation,Operating ratio,810.0
2016,12,50447,HIDS HERREDS SAMT GRØNBÆK. HINGE OG VINDERSLEV SOGNES BRANDFORSIKRING FOR RØRLIG EJENDOM - GENSIDIG under frivillig likvidation,Relativt afløbsresultat,0.0
2016,12,50453,NærBrand G/S (Under frivillig likvidation),Bruttoerstatningsprocent (Loss ratio),40.0
2016,12,50453,NærBrand G/S (Under frivillig likvidation),Bruttoomkostningsprocent (Expense ratio),70.0
2016,12,50453,NærBrand G/S (Under frivillig likvidation),Combined ratio,113.0
2016,12,50453,NærBrand G/S (Under frivillig likvidation),Egenkapitalforrentning i pct. (Return on equity),3.0
2016,12,50453,NærBrand G/S (Under frivillig likvidation),Operating ratio,113.0
2016,12,50453,NærBrand G/S (Under frivillig likvidation),Relativt afløbsresultat,-17.0
2016,12,50479,Skibsforsikringen Frederikshavn G/F,Bruttoerstatningsprocent (Loss ratio),47.0
2016,12,50479,Skibsforsikringen Frederikshavn G/F,Bruttoomkostningsprocent (Expense ratio),24.0
2016,12,50479,Skibsforsikringen Frederikshavn G/F,Combined ratio,89.0
2016,12,50479,Skibsforsikringen Frederikshavn G/F,Egenkapitalforrentning i pct. (Return on equity),8.0
2016,12,50479,Skibsforsikringen Frederikshavn G/F,Operating ratio,89.0
2016,12,50479,Skibsforsikringen Frederikshavn G/F,Relativt afløbsresultat,39.0
2016,12,50540,Dansk Jagtforsikring A/S,Bruttoerstatningsprocent (Loss ratio),68.0
2016,12,50540,Dansk Jagtforsikring A/S,Bruttoomkostningsprocent (Expense ratio),44.0
2016,12,50540,Dansk Jagtforsikring A/S,Combined ratio,127.0
2016,12,50540,Dansk Jagtforsikring A/S,Egenkapitalforrentning i pct. (Return on equity),-1.0
2016,12,50540,Dansk Jagtforsikring A/S,Operating ratio,127.0
2016,12,50540,Dansk Jagtforsikring A/S,Relativt afløbsresultat,-66.0
2016,12,50568,Danske Privatbaners Forsikringsforening G/S,Bruttoerstatningsprocent (Loss ratio),8.0
2016,12,50568,Danske Privatbaners Forsikringsforening G/S,Bruttoomkostningsprocent (Expense ratio),15.0
2016,12,50568,Danske Privatbaners Forsikringsforening G/S,Combined ratio,59.0
2016,12,50568,Danske Privatbaners Forsikringsforening G/S,Egenkapitalforrentning i pct. (Return on equity),7.0
2016,12,50568,Danske Privatbaners Forsikringsforening G/S,Operating ratio,59.0
2016,12,50568,Danske Privatbaners Forsikringsforening G/S,Relativt afløbsresultat,0.0
2016,12,50580,Dansk Søforsikring G/S (opløst efter frivillig likvidation),Bruttoerstatningsprocent (Loss ratio),23.0
2016,12,50580,Dansk Søforsikring G/S (opløst efter frivillig likvidation),Bruttoomkostningsprocent (Expense ratio),32.0
2016,12,50580,Dansk Søforsikring G/S (opløst efter frivillig likvidation),Combined ratio,110.0
2016,12,50580,Dansk Søforsikring G/S (opløst efter frivillig likvidation),Egenkapitalforrentning i pct. (Return on equity),-1.0
2016,12,50580,Dansk Søforsikring G/S (opløst efter frivillig likvidation),Operating ratio,100.0
2016,12,50580,Dansk Søforsikring G/S (opløst efter frivillig likvidation),Relativt afløbsresultat,16.0
2016,12,50635,Fiskernes Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),21.0
2016,12,50635,Fiskernes Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),49.0
2016,12,50635,Fiskernes Forsikring G/S,Combined ratio,75.0
2016,12,50635,Fiskernes Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),3.0
2016,12,50635,Fiskernes Forsikring G/S,Operating ratio,79.0
2016,12,50635,Fiskernes Forsikring G/S,Relativt afløbsresultat,4.0
2016,12,50826,Hvide Sande gensidige Skibsforsikringsforening,Bruttoerstatningsprocent (Loss ratio),75.0
2016,12,50826,Hvide Sande gensidige Skibsforsikringsforening,Bruttoomkostningsprocent (Expense ratio),25.0
2016,12,50826,Hvide Sande gensidige Skibsforsikringsforening,Combined ratio,133.0
2016,12,50826,Hvide Sande gensidige Skibsforsikringsforening,Egenkapitalforrentning i pct. (Return on equity),-3.0
2016,12,50826,Hvide Sande gensidige Skibsforsikringsforening,Operating ratio,133.0
2016,12,50826,Hvide Sande gensidige Skibsforsikringsforening,Relativt afløbsresultat,7.0
2016,12,51519,Popermo Forsikring g/s,Bruttoerstatningsprocent (Loss ratio),84.0
2016,12,51519,Popermo Forsikring g/s,Bruttoomkostningsprocent (Expense ratio),10.0
2016,12,51519,Popermo Forsikring g/s,Combined ratio,97.0
2016,12,51519,Popermo Forsikring g/s,Egenkapitalforrentning i pct. (Return on equity),8.0
2016,12,51519,Popermo Forsikring g/s,Operating ratio,97.0
2016,12,51519,Popermo Forsikring g/s,Relativt afløbsresultat,7.0
2016,12,51571,Forsikringsselskabet HIMMERLAND G/S,Bruttoerstatningsprocent (Loss ratio),67.0
2016,12,51571,Forsikringsselskabet HIMMERLAND G/S,Bruttoomkostningsprocent (Expense ratio),26.0
2016,12,51571,Forsikringsselskabet HIMMERLAND G/S,Combined ratio,96.0
2016,12,51571,Forsikringsselskabet HIMMERLAND G/S,Egenkapitalforrentning i pct. (Return on equity),7.0
2016,12,51571,Forsikringsselskabet HIMMERLAND G/S,Operating ratio,97.0
2016,12,51571,Forsikringsselskabet HIMMERLAND G/S,Relativt afløbsresultat,6.0
2016,12,51609,FISKEFARTØJSFORSIKRINGEN LÆSØ. GENSIDIGT SELSKAB under frivillig likvidation,Bruttoerstatningsprocent (Loss ratio),131.0
2016,12,51609,FISKEFARTØJSFORSIKRINGEN LÆSØ. GENSIDIGT SELSKAB under frivillig likvidation,Bruttoomkostningsprocent (Expense ratio),62.0
2016,12,51609,FISKEFARTØJSFORSIKRINGEN LÆSØ. GENSIDIGT SELSKAB under frivillig likvidation,Combined ratio,223.0
2016,12,51609,FISKEFARTØJSFORSIKRINGEN LÆSØ. GENSIDIGT SELSKAB under frivillig likvidation,Egenkapitalforrentning i pct. (Return on equity),-11.0
2016,12,51609,FISKEFARTØJSFORSIKRINGEN LÆSØ. GENSIDIGT SELSKAB under frivillig likvidation,Operating ratio,223.0
2016,12,51609,FISKEFARTØJSFORSIKRINGEN LÆSØ. GENSIDIGT SELSKAB under frivillig likvidation,Relativt afløbsresultat,0.0
2016,12,51619,GF Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),65.0
2016,12,51619,GF Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),22.0
2016,12,51619,GF Forsikring A/S,Combined ratio,89.0
2016,12,51619,GF Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),13.0
2016,12,51619,GF Forsikring A/S,Operating ratio,89.0
2016,12,51619,GF Forsikring A/S,Relativt afløbsresultat,14.0
2016,12,51706,"SYGEFORSIKRINGEN ""DANMARK"", GS",Bruttoerstatningsprocent (Loss ratio),96.0
2016,12,51706,"SYGEFORSIKRINGEN ""DANMARK"", GS",Bruttoomkostningsprocent (Expense ratio),4.0
2016,12,51706,"SYGEFORSIKRINGEN ""DANMARK"", GS",Combined ratio,100.0
2016,12,51706,"SYGEFORSIKRINGEN ""DANMARK"", GS",Egenkapitalforrentning i pct. (Return on equity),5.0
2016,12,51706,"SYGEFORSIKRINGEN ""DANMARK"", GS",Operating ratio,100.0
2016,12,51706,"SYGEFORSIKRINGEN ""DANMARK"", GS",Relativt afløbsresultat,2.0
2016,12,51777,Thisted Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),61.0
2016,12,51777,Thisted Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),24.0
2016,12,51777,Thisted Forsikring A/S,Combined ratio,90.0
2016,12,51777,Thisted Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),19.0
2016,12,51777,Thisted Forsikring A/S,Operating ratio,90.0
2016,12,51777,Thisted Forsikring A/S,Relativt afløbsresultat,8.0
2016,12,51778,"Købstædernes Forsikring, gensidig",Bruttoerstatningsprocent (Loss ratio),72.0
2016,12,51778,"Købstædernes Forsikring, gensidig",Bruttoomkostningsprocent (Expense ratio),23.0
2016,12,51778,"Købstædernes Forsikring, gensidig",Combined ratio,99.0
2016,12,51778,"Købstædernes Forsikring, gensidig",Egenkapitalforrentning i pct. (Return on equity),4.0
2016,12,51778,"Købstædernes Forsikring, gensidig",Operating ratio,99.0
2016,12,51778,"Købstædernes Forsikring, gensidig",Relativt afløbsresultat,-1.0
2016,12,51949,Forsikringsselskabet Nærsikring A/S,Bruttoerstatningsprocent (Loss ratio),26.0
2016,12,51949,Forsikringsselskabet Nærsikring A/S,Bruttoomkostningsprocent (Expense ratio),10.0
2016,12,51949,Forsikringsselskabet Nærsikring A/S,Combined ratio,39.0
2016,12,51949,Forsikringsselskabet Nærsikring A/S,Egenkapitalforrentning i pct. (Return on equity),8.0
2016,12,51949,Forsikringsselskabet Nærsikring A/S,Operating ratio,39.0
2016,12,51949,Forsikringsselskabet Nærsikring A/S,Relativt afløbsresultat,9.0
2016,12,52009,Topdanmark Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),66.0
2016,12,52009,Topdanmark Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),17.0
2016,12,52009,Topdanmark Forsikring A/S,Combined ratio,84.0
2016,12,52009,Topdanmark Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),30.0
2016,12,52009,Topdanmark Forsikring A/S,Operating ratio,84.0
2016,12,52009,Topdanmark Forsikring A/S,Relativt afløbsresultat,4.0
2016,12,52042,Codan Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),64.0
2016,12,52042,Codan Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),19.0
2016,12,52042,Codan Forsikring A/S,Combined ratio,86.0
2016,12,52042,Codan Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),23.0
2016,12,52042,Codan Forsikring A/S,Operating ratio,86.0
2016,12,52042,Codan Forsikring A/S,Relativt afløbsresultat,4.0
2016,12,53005,Dansk Fartøjsforsikring A/S,Bruttoerstatningsprocent (Loss ratio),66.0
2016,12,53005,Dansk Fartøjsforsikring A/S,Bruttoomkostningsprocent (Expense ratio),63.0
2016,12,53005,Dansk Fartøjsforsikring A/S,Combined ratio,137.0
2016,12,53005,Dansk Fartøjsforsikring A/S,Egenkapitalforrentning i pct. (Return on equity),-13.0
2016,12,53005,Dansk Fartøjsforsikring A/S,Operating ratio,131.0
2016,12,53005,Dansk Fartøjsforsikring A/S,Relativt afløbsresultat,25.0
2016,12,53006,Nykredit Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),75.0
2016,12,53006,Nykredit Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),22.0
2016,12,53006,Nykredit Forsikring A/S,Combined ratio,98.0
2016,12,53006,Nykredit Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),13.0
2016,12,53006,Nykredit Forsikring A/S,Operating ratio,98.0
2016,12,53006,Nykredit Forsikring A/S,Relativt afløbsresultat,-1.0
2016,12,53028,Bornholms Brandforsikring A/S,Bruttoerstatningsprocent (Loss ratio),44.0
2016,12,53028,Bornholms Brandforsikring A/S,Bruttoomkostningsprocent (Expense ratio),20.0
2016,12,53028,Bornholms Brandforsikring A/S,Combined ratio,72.0
2016,12,53028,Bornholms Brandforsikring A/S,Egenkapitalforrentning i pct. (Return on equity),14.0
2016,12,53028,Bornholms Brandforsikring A/S,Operating ratio,72.0
2016,12,53028,Bornholms Brandforsikring A/S,Relativt afløbsresultat,17.0
2016,12,53040,LB Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),89.0
2016,12,53040,LB Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),15.0
2016,12,53040,LB Forsikring A/S,Combined ratio,106.0
2016,12,53040,LB Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),6.0
2016,12,53040,LB Forsikring A/S,Operating ratio,106.0
2016,12,53040,LB Forsikring A/S,Relativt afløbsresultat,4.0
2016,12,53053,PenSam Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),81.0
2016,12,53053,PenSam Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),17.0
2016,12,53053,PenSam Forsikring A/S,Combined ratio,99.0
2016,12,53053,PenSam Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),4.0
2016,12,53053,PenSam Forsikring A/S,Operating ratio,99.0
2016,12,53053,PenSam Forsikring A/S,Relativt afløbsresultat,3.0
2016,12,53055,Concordia Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),80.0
2016,12,53055,Concordia Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),16.0
2016,12,53055,Concordia Forsikring A/S,Combined ratio,95.0
2016,12,53055,Concordia Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),7.0
2016,12,53055,Concordia Forsikring A/S,Operating ratio,96.0
2016,12,53055,Concordia Forsikring A/S,Relativt afløbsresultat,11.0
2016,12,53065,Borealis Insurance A/S (captive insurance company),Bruttoerstatningsprocent (Loss ratio),0.0
2016,12,53065,Borealis Insurance A/S (captive insurance company),Bruttoomkostningsprocent (Expense ratio),1.0
2016,12,53065,Borealis Insurance A/S (captive insurance company),Combined ratio,62.0
2016,12,53065,Borealis Insurance A/S (captive insurance company),Egenkapitalforrentning i pct. (Return on equity),10.0
2016,12,53065,Borealis Insurance A/S (captive insurance company),Operating ratio,62.0
2016,12,53065,Borealis Insurance A/S (captive insurance company),Relativt afløbsresultat,42.0
2016,12,53068,Alpha Insurance A/S under konkurs,Bruttoerstatningsprocent (Loss ratio),87.0
2016,12,53068,Alpha Insurance A/S under konkurs,Bruttoomkostningsprocent (Expense ratio),34.0
2016,12,53068,Alpha Insurance A/S under konkurs,Combined ratio,103.0
2016,12,53068,Alpha Insurance A/S under konkurs,Egenkapitalforrentning i pct. (Return on equity),-6.0
2016,12,53068,Alpha Insurance A/S under konkurs,Operating ratio,103.0
2016,12,53068,Alpha Insurance A/S under konkurs,Relativt afløbsresultat,-22.0
2016,12,53070,Tryg Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),66.0
2016,12,53070,Tryg Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),16.0
2016,12,53070,Tryg Forsikring A/S,Combined ratio,87.0
2016,12,53070,Tryg Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),25.0
2016,12,53070,Tryg Forsikring A/S,Operating ratio,87.0
2016,12,53070,Tryg Forsikring A/S,Relativt afløbsresultat,6.0
2016,12,53072,"FORSIKRINGSSELSKABET DANICA, SKADEFORSIKRINGSAKTIESELSKAB AF 1999",Bruttoerstatningsprocent (Loss ratio),105.0
2016,12,53072,"FORSIKRINGSSELSKABET DANICA, SKADEFORSIKRINGSAKTIESELSKAB AF 1999",Bruttoomkostningsprocent (Expense ratio),4.0
2016,12,53072,"FORSIKRINGSSELSKABET DANICA, SKADEFORSIKRINGSAKTIESELSKAB AF 1999",Combined ratio,109.0
2016,12,53072,"FORSIKRINGSSELSKABET DANICA, SKADEFORSIKRINGSAKTIESELSKAB AF 1999",Egenkapitalforrentning i pct. (Return on equity),10.0
2016,12,53072,"FORSIKRINGSSELSKABET DANICA, SKADEFORSIKRINGSAKTIESELSKAB AF 1999",Operating ratio,109.0
2016,12,53072,"FORSIKRINGSSELSKABET DANICA, SKADEFORSIKRINGSAKTIESELSKAB AF 1999",Relativt afløbsresultat,0.0
2016,12,53073,Mølholm Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),85.0
2016,12,53073,Mølholm Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),8.0
2016,12,53073,Mølholm Forsikring A/S,Combined ratio,97.0
2016,12,53073,Mølholm Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),11.0
2016,12,53073,Mølholm Forsikring A/S,Operating ratio,98.0
2016,12,53073,Mølholm Forsikring A/S,Relativt afløbsresultat,4.0
